Year,Month,DOM,DOW,DOW2,Date,Numb_Passengers,Numb_Bags,MTD_Bags,Bag_Pass_Ratio,MTD_Bags,MBR_Day_Of,Count_Day_of,MBR_Goal,MBR,COUNT,MBR_Diff_Goal,Met_Goal,%(+/-),A0,D0,num_gate_chg,flight_div,flights_cancelled,cnl_mech,cnl_we,cnl_other,Misc_Reason
2016,Jan,1,F,5-F,1/1/2016,73717,58781,58781,0.797387306,73717,9.41 ,694,10.00,11.64,858 ,1.64 ,0 ,-24%,69.3,55.4,76,1,5,1,0,4,0 
2016,Jan,2,J,6-J,1/2/2016,74144,67703,126484,0.913128507,147861,13.70 ,1016,10.00,15.96,"1,184 ",5.96 ,0 ,-17%,71.5,61.3,50,1,12,2,10,0,0 
2016,Jan,3,S,7-S,1/3/2016,84940,72571,199055,0.854379562,232801,16.28 ,1383,10.00,18.19,"1,545 ",8.19 ,0 ,-12%,73.5,59.9,62,0,4,1,2,1,AM ABR TSA
2016,Jan,4,M,1-M,1/4/2016,79386,73744,272799,0.928929534,312187,11.11 ,882,10.00,13.25,"1,052 ",3.25 ,0 ,-19%,75.9,63.7,58,0,8,8,0,0,0 
2016,Jan,5,T,2-T,1/5/2016,71323,62199,334998,0.872074927,383510,9.79 ,698,10.00,11.26,803 ,1.26 ,0 ,-15%,74.0,68.0,31,0,2,0,2,0,0 
2016,Jan,6,W,3-W,1/6/2016,70025,59985,394983,0.856622635,453535,9.93 ,695,10.00,11.65,816 ,1.65 ,0 ,-17%,71.6,68.1,40,1,4,0,4,0,PM WX
2016,Jan,7,Q,4-Q,1/7/2016,68057,49056,444039,0.720807558,521592,9.98 ,679,10.00,11.82,804 ,1.82 ,0 ,-18%,64.8,55.4,17,3,10,9,1,0,AM FOG
2016,Jan,8,F,5-F,1/8/2016,69926,57508,501547,0.822412264,591518,11.00 ,769,10.00,12.73,890 ,2.73 ,0 ,-16%,65.3,59.5,30,2,12,2,10,0,0 
2016,Jan,9,J,6-J,1/9/2016,63300,56279,557826,0.889083728,654818,12.76 ,808,10.00,14.93,945 ,4.93 ,0 ,-17%,67.5,58.0,57,1,3,0,3,1,0 
2016,Jan,10,S,7-S,1/10/2016,75953,61439,619265,0.808908141,730771,18.05 ,1371,10.00,20.87,"1,585 ",10.87 ,0 ,-16%,66.6,56.1,75,1,5,1,4,0,DBR Shaft Encoder Failure
2016,Jan,11,M,1-M,1/11/2016,74754,58712,677977,0.785402788,805525,8.27 ,618,10.00,9.23,690 ,(0.77),1 ,-12%,69.5,64.8,36,1,4,4,0,0,0 
2016,Jan,12,T,2-T,1/12/2016,65725,48928,726905,0.744435146,871250,5.60 ,368,10.00,6.39,420 ,(3.61),1 ,-14%,75.8,74.8,33,0,1,1,0,0,0 
2016,Jan,13,W,3-W,1/13/2016,69864,51649,778554,0.739279171,941114,6.00 ,419,10.00,6.69,467 ,(3.31),1 ,-12%,74.9,74.2,43,0,1,1,0,0,0 
2016,Jan,14,Q,4-Q,1/14/2016,77336,56538,835092,0.731069618,1018450,5.37 ,415,10.00,6.22,481 ,(3.78),1 ,-16%,75.0,68.3,36,0,1,1,0,0,0 
2016,Jan,15,F,5-F,1/15/2016,83200,58500,893592,0.703125,1101650,7.14 ,594,10.00,8.24,686 ,(1.76),1 ,-16%,75.1,66.9,39,0,2,2,0,0,0 
2016,Jan,16,J,6-J,1/16/2016,63973,54169,947761,0.846747847,1165623,10.14 ,649,10.00,11.94,764 ,1.94 ,0 ,-18%,74.3,69.2,59,0,0,0,0,0,0 
2016,Jan,17,S,7-S,1/17/2016,68881,55782,1003543,0.809831448,1234504,8.62 ,594,10.00,10.28,709 ,0.28 ,0 ,-19%,71.5,70.4,55,0,3,0,3,0,0 
2016,Jan,18,M,1-M,1/18/2016,76973,55880,1059423,0.725968846,1311477,6.44 ,496,10.00,7.07,544 ,(2.93),1 ,-10%,78.8,72.7,52,0,1,1,0,0,0 
2016,Jan,19,T,2-T,1/19/2016,67286,46823,1106246,0.695880272,1378763,6.09 ,410,10.00,6.62,445 ,(3.38),1 ,-9%,71.7,72.8,44,1,0,0,0,0,0 
2016,Jan,20,W,3-W,1/20/2016,64091,45304,1151550,0.706869919,1442854,6.32 ,405,10.00,7.24,464 ,(2.76),1 ,-15%,72.5,75.0,52,1,1,0,1,0,0 
2016,Jan,21,Q,4-Q,1/21/2016,70177,49841,1201391,0.710218448,1513031,10.22 ,717,10.00,11.99,842 ,1.99 ,0 ,-17%,34.9,34.8,68,1,13,2,11,0,AM LCL WX
2016,Jan,22,F,5-F,1/22/2016,71524,48708,1250099,0.681002181,1584555,7.65 ,547,10.00,8.87,634 ,(1.13),1 ,-16%,73.6,70.4,43,1,50,0,50,0,EAST COAST WX
2016,Jan,23,J,6-J,1/23/2016,54809,45099,1295198,0.822839315,1639364,8.63 ,473,10.00,9.48,519 ,(0.52),1 ,-10%,83.7,77.5,40,2,43,0,43,0,EAST COAST WX
2016,Jan,24,S,7-S,1/24/2016,66863,50807,1346005,0.759867191,1706227,8.39 ,561,10.00,9.36,626 ,(0.64),1 ,-12%,79.8,75.8,34,0,41,1,39,1,EAST COAST WX
2016,Jan,25,M,1-M,1/25/2016,72635,55485,1401490,0.763887933,1778862,5.98 ,434,10.00,6.73,489 ,(3.27),1 ,-13%,75.8,71.7,47,1,11,2,9,0,EAST COAST WX
2016,Jan,26,T,2-T,1/26/2016,65497,48163,1449653,0.735346657,1844359,4.81 ,315,10.00,5.23,343 ,(4.77),1 ,-9%,76.6,78.3,36,0,0,0,0,0,0 
2016,Jan,27,W,3-W,1/27/2016,65480,47548,1497201,0.726145388,1909839,4.57 ,299,10.00,4.92,322 ,(5.08),1 ,-8%,81.7,79.2,35,0,1,1,0,0,0 
2016,Jan,28,Q,4-Q,1/28/2016,71294,50280,1547481,0.705248689,1981133,3.93 ,280,10.00,4.36,311 ,(5.64),1 ,-11%,81.1,80.0,44,0,0,0,0,0,0 
2016,Jan,29,F,5-F,1/29/2016,73867,56495,1603976,0.764820556,2055000,5.70 ,421,10.00,6.18,456 ,(3.82),1 ,-8%,82.7,76.7,52,0,3,3,0,0,0 
2016,Jan,30,J,6-J,1/30/2016,56243,51694,1655670,0.919118824,2111243,7.70 ,433,10.00,8.70,491 ,(1.30),1 ,-13%,88.3,77.3,69,0,4,4,0,0,0 
2016,Jan,31,S,7-S,1/31/2016,70066,54705,1710375,0.780763851,2181309,6.34 ,444,10.00,7.07,496 ,(2.93),1 ,-12%,83.9,76.4,35,0,6,3,3,0,0 
2016,Feb,1,M,1-M,2/1/2016,70557,52498,52498,0.744050909,70557,6.24 ,440,6.30,6.60,466,0.30 ,0 ,-6%,72.7,71.8,62,1,15,3,12,0,Midwest WX
2016,Feb,2,T,2-T,2/2/2016,59465,43650,96148,0.734045237,130022,5.62 ,334,6.30,6.19,368,(0.11),1 ,-10%,72.1,80.8,28,1,8,1,7,0,Midwest WX
2016,Feb,3,W,3-W,2/3/2016,66469,41628,137776,0.626276911,196491,4.86 ,323,6.30,5.25,349,(1.05),1 ,-8%,67.5,73.0,51,0,2,1,1,0,0 
2016,Feb,4,Q,4-Q,2/4/2016,73333,46090,183866,0.628502857,269824,3.85 ,282,6.30,4.35,319,(1.95),1 ,-13%,77.0,72.2,45,1,0,0,0,0,0 
2016,Feb,5,F,5-F,2/5/2016,74741,58000,241866,0.776013165,344565,6.46 ,483,6.30,7.03,526,0.73 ,0 ,-9%,73.4,70.0,48,1,3,3,0,0,0 
2016,Feb,6,J,6-J,2/6/2016,59216,50526,292392,0.853249122,403781,5.59 ,331,6.30,6.72,398,0.42 ,0 ,-20%,82.8,79.9,21,0,2,2,0,0,0 
2016,Feb,7,S,7-S,2/7/2016,66759,50019,342411,0.749247292,470540,6.64 ,443,6.30,7.16,478,0.86 ,0 ,-8%,82.4,79.6,44,0,1,1,0,0,0 
2016,Feb,8,M,1-M,2/8/2016,73960,53296,395707,0.720605733,544500,6.33 ,468,6.30,6.85,507,0.55 ,0 ,-8%,71.3,74.7,29,0,1,1,0,0,0 
2016,Feb,9,T,2-T,2/9/2016,64962,45795,441502,0.704950586,609462,4.11 ,267,6.30,4.42,287,(1.88),1 ,-8%,78.0,81.2,29,0,0,0,0,0,0 
2016,Feb,10,W,3-W,2/10/2016,71306,51434,492936,0.721313774,680768,3.51 ,250,6.30,3.90,278,(2.40),1 ,-11%,84.4,77.3,37,0,1,1,0,0,0 
2016,Feb,11,Q,4-Q,2/11/2016,78576,57947,550883,0.737464366,759344,4.09 ,321,6.30,4.63,364,(1.67),1 ,-13%,80.3,69.1,51,0,0,0,0,0,0 
2016,Feb,12,F,5-F,2/12/2016,81460,68000,618883,0.834765529,840804,5.77 ,470,6.30,6.27,511,(0.03),1 ,-9%,79.1,65.2,45,0,9,9,0,0,0 
2016,Feb,13,J,6-J,2/13/2016,66476,52669,671552,0.792300981,907280,9.06 ,602,6.30,10.19,677,3.89 ,0 ,-12%,82.2,72.5,31,0,6,5,1,0,0 
2016,Feb,14,S,7-S,2/14/2016,69309,52305,723857,0.754663896,976589,6.61 ,458,6.30,7.82,542,1.52 ,0 ,-18%,72.5,65.2,54,0,2,2,0,0,0 
2016,Feb,15,M,1-M,2/15/2016,77404,58629,782486,0.757441476,1053993,7.16 ,554,6.30,7.97,617,1.67 ,0 ,-11%,63.5,58.5,53,0,11,1,10,0,NE WX
2016,Feb,16,T,2-T,2/16/2016,74106,50423,832909,0.68041724,1128099,5.55 ,411,6.30,6.31,467,0.01 ,0 ,-14%,73.5,65.1,55,0,5,4,0,1,0 
2016,Feb,17,W,3-W,2/17/2016,70331,51882,884791,0.737683241,1198430,3.92 ,276,6.30,5.01,352,(1.29),1 ,-28%,83.6,77.9,45,0,3,2,1,0,PVG Flight
2016,Feb,18,Q,4-Q,2/18/2016,74658,54310,939101,0.727450508,1273088,3.91 ,292,6.30,4.13,308,(2.17),1 ,-6%,79.8,74.4,42,0,2,1,1,0,0 
2016,Feb,19,F,5-F,2/19/2016,77906,56000,995101,0.718814982,1350994,5.62 ,438,6.30,6.34,494,0.04 ,0 ,-13%,78.5,68.8,78,2,0,0,0,0,ORD WX
2016,Feb,20,J,6-J,2/20/2016,66023,55957,1051058,0.847537979,1417017,6.35 ,419,6.30,7.21,476,0.91 ,0 ,-14%,83.8,79.9,28,1,1,0,0,1,0 
2016,Feb,21,S,7-S,2/21/2016,78877,64000,1115058,0.811389886,1495894,7.05 ,556,6.30,7.65,604,1.35 ,0 ,-9%,72.7,69.9,39,1,3,2,1,0,B BGRM DOWN 12:00-14:20
2016,Feb,22,M,1-M,2/22/2016,79422,59050,1174108,0.743496764,1575316,4.18 ,332,6.30,4.46,354,(1.84),1 ,-7%,77.5,69.4,48,0,5,3,2,0,0 
2016,Feb,23,T,2-T,2/23/2016,65839,47330,1221438,0.718874831,1641155,5.22 ,344,6.30,5.55,365,(0.75),1 ,-6%,68.0,69.8,34,0,4,0,4,0,0 
2016,Feb,24,W,3-W,2/24/2016,73307,46236,1267674,0.630717394,1714462,4.97 ,364,6.30,6.28,460,(0.02),1 ,-26%,78.9,73.6,34,0,6,0,6,0,HKG and LHR(BA) flts/NE WX
2016,Feb,25,Q,4-Q,2/25/2016,80098,59000,1326674,0.736597668,1794560,4.53 ,363,6.30,5.00,400,(1.30),1 ,-10%,73.2,69.2,16,0,5,0,5,0,0 
2016,Feb,26,F,5-F,2/26/2016,79856,58000,1384674,0.726307353,1874416,5.61 ,448,6.30,5.98,477,(0.32),1 ,-7%,77.9,72.7,43,1,0,0,0,0,0 
2016,Feb,27,J,6-J,2/27/2016,64133,54890,1439564,0.855877629,1938549,10.24 ,657,6.30,11.03,707,4.73 ,0 ,-8%,85.3,80.0,47,0,0,0,0,0,0 
2016,Feb,28,S,7-S,2/28/2016,76046,64000,1503564,0.841595876,2014595,6.69 ,509,6.30,7.45,567,1.15 ,0 ,-11%,79.5,73.2,55,0,0,0,0,0,0 
2016,Feb,29,M,1-M,2/29/2016,75136,56742,1560306,0.755190588,2089731,6.43 ,483,6.30,6.95,522,0.65 ,0 ,-8%,78.0,73.6,34,0,2,2,0,0,Power surge @ 14:40
2016,Mar,1,T,2-T,3/1/2016,67987,51026,51026,0.750525836,67987,5.31 ,361,7.00,5.93,403 ,(1.07),1 ,-12%,73.9,70.4,52,1,5,3,2,0,0 
2016,Mar,2,W,3-W,3/2/2016,70617,53241,104267,0.753940269,138604,4.18 ,295,7.00,5.11,361 ,(1.89),1 ,-22%,81.4,78.8,46,0,1,1,0,0,0 
2016,Mar,3,Q,4-Q,3/3/2016,79652,51432,155699,0.645708833,218256,4.77 ,380,7.00,5.44,433 ,(1.56),1 ,-14%,77.4,70.9,53,0,0,0,0,0,Opened E/re-programmed T Link
2016,Mar,4,F,5-F,3/4/2016,84916,56497,212196,0.665328089,303172,6.09 ,517,7.00,6.74,573 ,(0.26),1 ,-11%,79.8,71.6,62,1,2,1,1,0,0 
2016,Mar,5,J,6-J,3/5/2016,75200,64032,276228,0.851489362,378372,5.81 ,437,7.00,6.75,507 ,(0.25),1 ,-16%,82.9,73.8,48,1,1,1,0,0,0 
2016,Mar,6,S,7-S,3/6/2016,84099,67229,343457,0.799403084,462471,7.21 ,606,7.00,7.68,646 ,0.68 ,0 ,-7%,74.1,69.9,34,0,3,3,0,0,0 
2016,Mar,7,M,1-M,3/7/2016,78074,53526,396983,0.685580347,540545,8.45 ,660,7.00,9.50,741 ,2.50 ,0 ,-12%,50.8,53.4,42,2,6,1,4,1,0 
2016,Mar,8,T,2-T,3/8/2016,62237,42161,439144,0.677426611,602782,14.98 ,932,7.00,18.10,"1,126 ",11.10 ,0 ,-21%,17.3,20.8,132,25,80,9,71,0,Severe WX
2016,Mar,9,W,3-W,3/9/2016,74766,55574,494718,0.743305781,677548,9.84 ,736,7.00,11.74,877 ,4.74 ,0 ,-19%,27.2,33.3,69,0,24,6,17,1,LCL WX/Ruboff
2016,Mar,10,Q,4-Q,3/10/2016,81147,60152,554870,0.741272013,758695,8.26 ,670,7.00,9.55,775 ,2.55 ,0 ,-16%,43.1,45.6,81,1,14,9,4,1,LCL WX
2016,Mar,11,F,5-F,3/11/2016,85721,57003,611873,0.66498291,844416,8.81 ,755,7.00,9.97,855 ,2.97 ,0 ,-13%,52.3,46.9,69,1,5,4,1,0,LCL WX
2016,Mar,12,J,6-J,3/12/2016,77083,61505,673378,0.797906153,921499,8.03 ,619,7.00,8.46,652 ,1.46 ,0 ,-5%,68.9,60.3,57,0,2,1,1,0,0 
2016,Mar,13,S,7-S,3/13/2016,87003,60883,734261,0.699780467,1008502,7.64 ,665,7.00,9.16,797 ,2.16 ,0 ,-20%,69.7,58.7,95,2,2,2,0,0,0 
2016,Mar,14,M,1-M,3/14/2016,80769,53522,787783,0.662655227,1089271,5.76 ,465,7.00,6.58,531 ,(0.42),1 ,-14%,73.9,58.9,81,1,1,1,0,0,0 
2016,Mar,15,T,2-T,3/15/2016,75196,48038,835821,0.638837172,1164467,4.69 ,353,7.00,5.37,404 ,(1.63),1 ,-14%,78.9,69.3,52,1,1,1,0,0,0 
2016,Mar,16,W,3-W,3/16/2016,80096,51543,887364,0.643515282,1244563,5.86 ,469,7.00,6.70,537 ,(0.30),1 ,-14%,74.0,70.0,57,0,1,1,0,0,0 
2016,Mar,17,Q,4-Q,3/17/2016,76844,48169,935533,0.626841393,1321407,8.73 ,671,7.00,9.87,758 ,2.87 ,0 ,-13%,39.2,43.8,71,9,4,1,3,0,LCL WX
2016,Mar,18,F,5-F,3/18/2016,77415,52120,987653,0.673254537,1398822,8.11 ,628,7.00,9.18,710 ,2.18 ,0 ,-13%,52.4,59.5,55,8,5,4,1,0,0 
2016,Mar,19,J,6-J,3/19/2016,69562,56806,1044459,0.816624019,1468384,8.29 ,577,7.00,9.54,663 ,2.54 ,0 ,-15%,70.2,65.1,41,0,2,1,0,1,0 
2016,Mar,20,S,7-S,3/20/2016,82765,59010,1103469,0.712982541,1551149,7.99 ,661,7.00,9.42,780 ,2.42 ,0 ,-18%,75.2,66.6,84,1,6,6,0,0,0 
2016,Mar,21,M,1-M,3/21/2016,78087,61144,1164613,0.783024063,1629236,6.68 ,522,7.00,7.60,593 ,0.60 ,0 ,-14%,78.5,67.8,54,1,7,7,0,0,0 
2016,Mar,22,T,2-T,3/22/2016,72486,52785,1217398,0.728209585,1701722,5.52 ,400,7.00,5.99,434 ,(1.01),1 ,-9%,82.3,79.3,46,0,1,1,0,0,0 
2016,Mar,23,W,3-W,3/23/2016,75058,54438,1271836,0.725279117,1776780,7.06 ,530,7.00,8.42,632 ,1.42 ,0 ,-19%,72.5,62.7,81,5,19,1,15,3,Late severe PM WX
2016,Mar,24,Q,4-Q,3/24/2016,85882,54540,1326376,0.635057404,1862662,6.05 ,520,7.00,7.02,603 ,0.02 ,0 ,-16%,66.4,56.2,58,2,3,3,0,0,0 
2016,Mar,25,F,5-F,3/25/2016,81660,54370,1380746,0.665809454,1944322,7.87 ,643,7.00,8.87,724 ,1.87 ,0 ,-13%,75.6,70.1,56,1,6,5,1,0,0 
2016,Mar,26,J,6-J,3/26/2016,65229,53790,1434536,0.824633215,2009551,8.17 ,533,7.00,9.76,636 ,2.76 ,0 ,-19%,76.3,68.6,61,0,6,4,0,2,0 
2016,Mar,27,S,7-S,3/27/2016,74223,54178,1488714,0.729935465,2083774,7.30 ,542,7.00,8.30,616 ,1.30 ,0 ,-14%,79.5,71.0,40,0,4,4,0,0,0 
2016,Mar,28,M,1-M,3/28/2016,80372,60540,1549254,0.7532474,2164146,5.55 ,446,7.00,6.32,508 ,(0.68),1 ,-14%,77.0,67.5,61,1,8,6,1,1,0 
2016,Mar,29,T,2-T,3/29/2016,71909,52888,1602142,0.735485127,2236055,5.63 ,405,7.00,6.33,455 ,(0.67),1 ,-12%,76.3,75.6,53,1,0,0,0,0,0 
2016,Mar,30,W,3-W,3/30/2016,65661,48057,1650199,0.731895646,2301716,8.77 ,576,7.00,12.21,802 ,5.21 ,0 ,-39%,40.4,48.0,87,6,56,56,0,0,PM WX
2016,Mar,31,Q,4-Q,3/31/2016,78018,49098,1699297,0.629316312,2379734,5.59 ,436,7.00,7.75,604 ,0.75 ,0 ,-39%,65.0,66.6,50,0,2,2,0,0,0 
2016,Apr,1,F,5-F,4/1/2016,80266,64410,64410,0.802456831,80266,7.49 ,601,6.70,8.17,656 ,1.47 ,0 ,-9%,59.0,62.7,53,0,3,3,0,0,0 
2016,Apr,2,J,6-J,4/2/2016,69844,58774,123184,0.841503923,150110,8.92 ,623,6.70,10.83,756 ,4.13 ,0 ,-21%,70.9,66.0,58,0,1,0,0,1,CBP APC SYS down @ 1645
2016,Apr,3,S,7-S,4/3/2016,81163,65340,188524,0.805046635,231273,8.27 ,671,6.70,8.94,726 ,2.24 ,0 ,-8%,78.1,69.6,52,0,7,7,0,0,0 
2016,Apr,4,M,1-M,4/4/2016,79277,57776,246300,0.728786407,310550,5.58 ,442,6.70,6.20,492 ,(0.50),1 ,-11%,80.8,71.9,71,0,0,0,0,0,0 
2016,Apr,5,T,2-T,4/5/2016,73179,52961,299261,0.723718553,383729,4.15 ,304,6.70,4.70,344 ,(2.00),1 ,-13%,84.0,78.1,45,1,1,1,0,0,0 
2016,Apr,6,W,3-W,4/6/2016,73796,52059,351320,0.70544474,457525,3.94 ,291,6.70,4.46,329 ,(2.24),1 ,-13%,73.7,74.1,54,1,2,0,0,2,0 
2016,Apr,7,Q,4-Q,4/7/2016,78904,52832,404152,0.669573152,536429,3.97 ,313,6.70,4.22,333 ,(2.48),1 ,-6%,77.7,75.7,42,0,2,1,0,1,0 
2016,Apr,8,F,5-F,4/8/2016,80045,55688,459840,0.695708664,616474,5.72 ,458,6.70,6.86,549 ,0.16 ,0 ,-20%,73.8,68.3,43,0,1,1,0,0,0 
2016,Apr,9,J,6-J,4/9/2016,65197,52534,512374,0.805773272,681671,6.66 ,434,6.70,7.47,487 ,0.77 ,0 ,-12%,79.3,69.6,32,1,2,2,0,0,0 
2016,Apr,10,S,7-S,4/10/2016,80599,62277,574651,0.77267708,762270,6.70 ,540,6.70,7.66,618 ,0.96 ,0 ,-14%,72.1,66.8,44,0,5,5,0,0,0 
2016,Apr,11,M,1-M,4/11/2016,76785,55255,629906,0.719606694,839055,7.35 ,564,6.70,8.04,617 ,1.34 ,0 ,-9%,38.9,48.1,57,5,8,3,5,0,AM/PM LCL & area WX
2016,Apr,12,T,2-T,4/12/2016,67985,47512,677418,0.698860043,907040,3.60 ,245,6.70,3.90,265 ,(2.80),1 ,-8%,78.2,79.4,32,0,0,0,0,0,0 
2016,Apr,13,W,3-W,4/13/2016,71803,49672,727090,0.69178168,978843,3.38 ,243,6.70,3.70,266 ,(3.00),1 ,-9%,70.8,74.7,38,1,0,0,0,0,0 
2016,Apr,14,Q,4-Q,4/14/2016,78959,56367,783457,0.713876822,1057802,4.08 ,322,6.70,4.34,343 ,(2.36),1 ,-6%,81.0,73.4,30,0,1,1,0,0,0 
2016,Apr,15,F,5-F,4/15/2016,81430,61607,845064,0.75656392,1139232,3.95 ,322,6.70,5.13,418 ,(1.57),1 ,-30%,81.1,75.5,35,0,1,1,0,0,OPA not updated
2016,Apr,16,J,6-J,4/16/2016,64854,51334,896398,0.791531748,1204086,4.72 ,306,6.70,7.70,499 ,1.00 ,0 ,-63%,85.3,77.9,33,0,12,2,10,0,OPA not updated
2016,Apr,17,S,7-S,4/17/2016,55181,52230,948628,0.946521448,1259267,22.13 ,1221,6.70,30.75,"1,697 ",24.05 ,0 ,-39%,13.2,14.8,70,30,241,3,199,39,LCL WX
2016,Apr,18,M,1-M,4/18/2016,81009,59642,1008270,0.736239183,1340276,11.17 ,905,6.70,12.55,"1,017 ",5.85 ,0 ,-12%,55.1,49.2,25,0,38,2,8,27,Ruboff/IAH flood/Envoy SOC outage
2016,Apr,19,T,2-T,4/19/2016,72316,53112,1061382,0.734443277,1412592,3.35 ,242,6.70,5.21,377 ,(1.49),1 ,-56%,77.5,75.7,44,1,1,1,0,0,NetTracer not updating 
2016,Apr,20,W,3-W,4/20/2016,73057,52345,1113727,0.716495339,1485649,4.50 ,329,6.70,4.90,358 ,(1.80),1 ,-9%,66.8,74.3,35,0,1,1,0,0,0 
2016,Apr,21,Q,4-Q,4/21/2016,80520,49017,1162744,0.608755589,1566169,4.27 ,344,6.70,4.73,381 ,(1.97),1 ,-11%,74.0,69.5,41,0,5,4,1,0,0 
2016,Apr,22,F,5-F,4/22/2016,82718,61299,1224043,0.741059987,1648887,4.80 ,397,6.70,5.42,448 ,(1.28),1 ,-13%,79.8,71.2,44,0,3,3,0,0,0 
2016,Apr,23,J,6-J,4/23/2016,63193,47740,1271783,0.755463422,1712080,6.42 ,406,6.70,6.96,440 ,0.26 ,0 ,-8%,87.0,83.5,34,1,2,0,2,0,0 
2016,Apr,24,S,7-S,4/24/2016,79197,60328,1332111,0.761746026,1791277,5.52 ,437,6.70,5.78,458 ,(0.92),1 ,-5%,85.8,79.8,46,1,0,0,0,0,0 
